timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
Performance for 1000 user ,,,,,,,,,,,,,,,,
1.72E+12,34895,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-56,,TRUE,,27220,495,983,983,null,34752,438,9415
1.72E+12,35273,https://fbsadvisor.com/,200,OK,Thread Group 1-62,text,TRUE,,27220,495,982,982,https://fbsadvisor.com/,35103,0,9374
1.72E+12,35273,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-62,,TRUE,,27220,495,982,982,null,35103,481,9374
1.72E+12,35166,https://fbsadvisor.com/,200,OK,Thread Group 1-665,text,TRUE,,27220,495,981,981,https://fbsadvisor.com/,35035,0,9242
1.72E+12,35166,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-665,,TRUE,,27220,495,981,981,null,35035,1,9242
1.72E+12,35158,https://fbsadvisor.com/,200,OK,Thread Group 1-693,text,TRUE,,27220,495,980,980,https://fbsadvisor.com/,35023,0,9142
1.72E+12,35349,https://fbsadvisor.com/,200,OK,Thread Group 1-564,text,TRUE,,27220,495,980,980,https://fbsadvisor.com/,35212,0,9327
1.72E+12,35158,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-693,,TRUE,,27220,495,980,980,null,35023,2,9142
1.72E+12,35349,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-564,,TRUE,,27220,495,980,980,null,35212,2,9327
1.72E+12,35448,https://fbsadvisor.com/,200,OK,Thread Group 1-232,text,TRUE,,27220,495,978,978,https://fbsadvisor.com/,35315,0,9419
1.72E+12,35448,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-232,,TRUE,,27220,495,978,978,null,35315,219,9419
1.72E+12,35681,https://fbsadvisor.com/,200,OK,Thread Group 1-733,text,TRUE,,27220,495,977,977,https://fbsadvisor.com/,35548,0,9118
1.72E+12,35681,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-733,,TRUE,,27220,495,977,977,null,35548,2,9118
1.72E+12,35916,https://fbsadvisor.com/,200,OK,Thread Group 1-341,text,TRUE,,27220,495,976,976,https://fbsadvisor.com/,35731,0,9359
1.72E+12,35916,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-341,,TRUE,,27220,495,976,976,null,35731,185,9359
1.72E+12,36120,https://fbsadvisor.com/,200,OK,Thread Group 1-493,text,TRUE,,27220,495,975,975,https://fbsadvisor.com/,35986,0,9394
1.72E+12,36120,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-493,,TRUE,,27220,495,975,975,null,35986,23,9394
1.72E+12,36344,https://fbsadvisor.com/,200,OK,Thread Group 1-531,text,TRUE,,27220,495,974,974,https://fbsadvisor.com/,36205,0,9410
1.72E+12,36344,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-531,,TRUE,,27220,495,974,974,null,36205,2,9410
1.72E+12,35756,https://fbsadvisor.com/,200,OK,Thread Group 1-981,text,TRUE,,27220,495,973,973,https://fbsadvisor.com/,35626,0,8770
1.72E+12,35756,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-981,,TRUE,,27220,495,973,973,null,35626,4,8770
1.72E+12,35960,https://fbsadvisor.com/,200,OK,Thread Group 1-815,text,TRUE,,27220,495,972,972,https://fbsadvisor.com/,35831,0,8997
1.72E+12,35960,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-815,,TRUE,,27220,495,972,972,null,35831,0,8997
1.72E+12,36392,https://fbsadvisor.com/,200,OK,Thread Group 1-508,text,TRUE,,27220,495,971,971,https://fbsadvisor.com/,36262,0,9433
1.72E+12,36392,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-508,,TRUE,,27220,495,971,971,null,36262,2,9433
1.72E+12,36353,https://fbsadvisor.com/,200,OK,Thread Group 1-18,text,TRUE,,27220,495,970,970,https://fbsadvisor.com/,36214,0,9369
1.72E+12,36353,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-18,,TRUE,,27220,495,970,970,null,36214,518,9369
1.72E+12,36396,https://fbsadvisor.com/,200,OK,Thread Group 1-473,text,TRUE,,27220,495,969,969,https://fbsadvisor.com/,36256,0,9383
1.72E+12,36396,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-473,,TRUE,,27220,495,969,969,null,36256,45,9383
1.72E+12,36025,https://fbsadvisor.com/,200,OK,Thread Group 1-803,text,TRUE,,27220,495,969,969,https://fbsadvisor.com/,35885,0,9040
1.72E+12,36025,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-803,,TRUE,,27220,495,969,969,null,35885,2,9040
1.72E+12,36229,https://fbsadvisor.com/,200,OK,Thread Group 1-603,text,TRUE,,27220,495,967,967,https://fbsadvisor.com/,36088,0,9206
1.72E+12,36229,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-603,,TRUE,,27220,495,967,967,null,36088,2,9206
1.72E+12,36445,https://fbsadvisor.com/,200,OK,Thread Group 1-551,text,TRUE,,27220,495,966,966,https://fbsadvisor.com/,36314,0,9312
1.72E+12,36445,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-551,,TRUE,,27220,495,966,966,null,36314,2,9312
1.72E+12,36342,https://fbsadvisor.com/,200,OK,Thread Group 1-632,text,TRUE,,27220,495,965,965,https://fbsadvisor.com/,36210,0,9200
1.72E+12,36342,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-632,,TRUE,,27220,495,965,965,null,36210,3,9200
1.72E+12,36470,https://fbsadvisor.com/,200,OK,Thread Group 1-500,text,TRUE,,27220,495,964,964,https://fbsadvisor.com/,36335,0,9312
1.72E+12,36470,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-500,,TRUE,,27220,495,964,964,null,36335,98,9312
1.72E+12,36558,https://fbsadvisor.com/,200,OK,Thread Group 1-212,text,TRUE,,27220,495,963,963,https://fbsadvisor.com/,36419,0,9375
1.72E+12,36417,https://fbsadvisor.com/,200,OK,Thread Group 1-662,text,TRUE,,27220,495,963,963,https://fbsadvisor.com/,36412,0,9233
1.72E+12,36558,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-212,,TRUE,,27220,495,963,963,null,36419,257,9375
1.72E+12,36417,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-662,,TRUE,,27220,495,963,963,null,36412,1,9233
