timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
Performance for 100 user ,,,,,,,,,,,,,,,,
1.72E+12,5701,https://fbsadvisor.com/,200,OK,Thread Group 1-52,text,TRUE,,27220,495,83,83,https://fbsadvisor.com/,5570,0,2373
1.72E+12,5701,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-52,,TRUE,,27220,495,83,83,null,5570,2,2373
1.72E+12,5879,https://fbsadvisor.com/,200,OK,Thread Group 1-27,text,TRUE,,27220,495,82,82,https://fbsadvisor.com/,5744,0,2533
1.72E+12,5879,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-27,,TRUE,,27220,495,82,82,null,5744,76,2533
1.72E+12,5885,https://fbsadvisor.com/,200,OK,Thread Group 1-15,text,TRUE,,27220,495,81,81,https://fbsadvisor.com/,5757,0,2536
1.72E+12,5885,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-15,,TRUE,,27220,495,81,81,null,5757,194,2536
1.72E+12,5674,https://fbsadvisor.com/,200,OK,Thread Group 1-56,text,TRUE,,27220,495,80,80,https://fbsadvisor.com/,5543,0,2320
1.72E+12,5674,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-56,,TRUE,,27220,495,80,80,null,5543,2,2320
1.72E+12,5706,https://fbsadvisor.com/,200,OK,Thread Group 1-53,text,TRUE,,27220,495,79,79,https://fbsadvisor.com/,5575,0,2350
1.72E+12,5706,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-53,,TRUE,,27220,495,79,79,null,5575,1,2350
1.72E+12,5904,https://fbsadvisor.com/,200,OK,Thread Group 1-2,text,TRUE,,27220,495,78,78,https://fbsadvisor.com/,5773,0,2671
1.72E+12,5904,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,TRUE,,27220,495,78,78,null,5773,291,2671
1.72E+12,5742,https://fbsadvisor.com/,200,OK,Thread Group 1-51,text,TRUE,,27220,495,77,77,https://fbsadvisor.com/,5607,0,2371
1.72E+12,5742,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-51,,TRUE,,27220,495,77,77,null,5607,2,2371
1.72E+12,5426,https://fbsadvisor.com/,200,OK,Thread Group 1-99,text,TRUE,,27220,495,76,76,https://fbsadvisor.com/,5290,0,1896
1.72E+12,5426,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-99,,TRUE,,27220,495,76,76,null,5290,2,1896
1.72E+12,5815,https://fbsadvisor.com/,200,OK,Thread Group 1-61,text,TRUE,,27220,495,75,75,https://fbsadvisor.com/,5678,0,2268
